record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,contract_id,supplier_id,material_id,contract_quantity,ordered_quantity,quantity_uom,benchmark_code,benchmark_price,premium_rate,currency,incoterm,payment_terms,valid_from,valid_to,price_formula
prc-01-b6fe696741f6,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-29fec2e3a76a,CTR-00001,SUP-0001,RM-CU-CONC,10000,5319.559,TON,NICKEL,10745.82,-0.02,KRW,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-d5cef48e97a2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-74e42cb36dcf,CTR-00002,SUP-0002,MAT-CO-0015,12500,415.444,EA,NICKEL,10745.82,-0.012,USD,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-d230111c49c4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-533100a29c70,CTR-00003,SUP-0003,MAT-RA-0018,15000,379.5,TON,NICKEL,10745.82,-0.004,USD,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-ea726765f4fa,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0e4da8feae16,CTR-00004,SUP-0004,MAT-RA-0019,17500,375.0,TON,NICKEL,10745.82,0.004,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-ea853043f12d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b890fe665540,CTR-00005,SUP-0005,RM-MHP,20000,5425.527,TON,NICKEL,10745.82,0.012,KRW,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-11c7473d8927,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e0d91f8a3444,CTR-00006,SUP-0006,MAT-CO-0021,22500,366.0,EA,NICKEL,10745.82,0.02,USD,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-03d20b8a7771,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a48574c973e,CTR-00007,SUP-0007,MAT-RA-0024,25000,361.5,TON,NICKEL,10745.82,0.028,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-6aee8d7a1803,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-014e500dbefe,CTR-00008,SUP-0008,MAT-RA-0025,27500,357.0,TON,NICKEL,10745.82,0.036,USD,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-63c0e1d5b305,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4c787b8194ce,CTR-00009,SUP-0009,RM-BLACKMASS,30000,5398.153,TON,LITHIUM,25210.57,0.044,KRW,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-bd387e82a13e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-50ea9bb97e98,CTR-00010,SUP-0010,MAT-CO-0027,32500,397.5,EA,NICKEL,10745.82,-0.02,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
