record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,scenario_id,scenario_name,baseline_id,driver_id,change_value,change_unit,impact_metrics,scenario_period_start,scenario_period_end,approval_status,rationale
sim-02-80276bd50912,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a8b8142bc62a,SCN-01,환율 10% 상승,BASELINE-DEMO-1.0,DRV-FX,0.1,%,"PURCHASE_COST,CASH,GROSS_MARGIN",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-319a4c907c36,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a9bd92f6920c,SCN-02,원료가격 15% 상승,BASELINE-DEMO-1.0,DRV-COMMODITY,0.15,%,"PURCHASE_COST,COGS,GROSS_MARGIN",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-9e8730142988,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bdcb805dc0d3,SCN-03,해상운임 30% 상승,BASELINE-DEMO-1.0,DRV-FREIGHT,0.3,%,"LANDED_COST,INVENTORY_VALUE",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-df01f216fde6,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e6f94c3dfe2,SCN-04,선적·통관 14일 지연,BASELINE-DEMO-1.0,DRV-DELAY,14,DAY,"INVENTORY,PRODUCTION,REVENUE",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-e8d40e224851,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-598c5adc1a06,SCN-05,핵심 공급사 공급량 20% 감소,BASELINE-DEMO-1.0,DRV-SUPPLY,-0.2,%,"SUPPLY,PRODUCTION,CASH",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-5f5737f54321,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-08a29f850d63,SCN-06,생산수율 2%p 하락,BASELINE-DEMO-1.0,DRV-YIELD,-0.02,PERCENT_POINT,"OUTPUT,UNIT_COST",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-d06b15ea25f9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-23b8c79610d5,SCN-07,주요 설비 48시간 정지,BASELINE-DEMO-1.0,DRV-DOWNTIME,48,HOUR,"CAPACITY,SHIPMENT,REVENUE",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-42b2dd9ae21f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5e446ae5e942,SCN-08,전력단가 12% 상승,BASELINE-DEMO-1.0,DRV-POWER,0.12,%,"CONVERSION_COST,GROSS_MARGIN",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-151f0b82b7c3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-06c94ff929f2,SCN-09,제품수요 15% 감소,BASELINE-DEMO-1.0,DRV-DEMAND,-0.15,%,"SALES,INVENTORY,CASH",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
sim-02-2877882799d5,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,SCENARIO,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c848d046723f,SCN-10,신규 공장 투자,BASELINE-DEMO-1.0,DRV-CAPEX,180000000000,KRW,"CAPACITY,CASH,ROI",2026-09-01,2027-12-31,APPROVED_FOR_DEMO,제품 기능 검증용 Golden Decision Case
