record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,customer_id,customer_name,market,country_code,currency,credit_terms,product_ids,active
mdm-03-274606f8f1b3,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fc515f295371,CUS-0001,배터리·금속 고객사 01 (가상),KOREA,KR,KRW,NET30,"[""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215""]",True
mdm-03-9abf188a96c1,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-62a5d8a81373,CUS-0002,배터리·금속 고객사 02 (가상),CHINA,CN,USD,NET45,"[""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE""]",True
mdm-03-49893f3de911,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-749b67200f9e,CUS-0003,배터리·금속 고객사 03 (가상),EU,DE,USD,NET60,"[""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4""]",True
mdm-03-4c4414168791,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1ce2a6dd283b,CUS-0004,배터리·금속 고객사 04 (가상),NORTH_AMERICA,US,USD,NET30,"[""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH""]",True
mdm-03-487f6c2a560c,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7e4b518a4478,CUS-0005,배터리·금속 고객사 05 (가상),JAPAN,JP,KRW,NET45,"[""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017""]",True
mdm-03-824b5b4edc48,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-04dd97f9ccb9,CUS-0006,배터리·금속 고객사 06 (가상),KOREA,KR,USD,NET60,"[""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023""]",True
mdm-03-c58b4a80dc05,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f31c59834447,CUS-0007,배터리·금속 고객사 07 (가상),CHINA,CN,USD,NET30,"[""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029""]",True
mdm-03-2009b0d89654,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7bca7bfca474,CUS-0008,배터리·금속 고객사 08 (가상),EU,DE,USD,NET45,"[""MAT-FI-0041"", ""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035""]",True
mdm-03-842fcb20c47c,tenant-afs-demo-materials,org-afs-metals,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0d13d0f8af73,CUS-0009,배터리·금속 고객사 09 (가상),NORTH_AMERICA,US,KRW,NET60,"[""MAT-FI-0047"", ""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041""]",True
mdm-03-cb74d49a8d0c,tenant-afs-demo-materials,org-afs-advanced,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f63218fd0082,CUS-0010,배터리·금속 고객사 10 (가상),JAPAN,JP,USD,NET30,"[""MAT-FI-0053"", ""MAT-FI-0059"", ""MAT-FI-0065"", ""MAT-FI-0071"", ""MAT-FI-0077"", ""MAT-FI-0083"", ""MAT-FI-0089"", ""MAT-FI-0095"", ""MAT-FI-0101"", ""MAT-FI-0107"", ""MAT-FI-0113"", ""MAT-FI-0119"", ""MAT-FI-0125"", ""MAT-FI-0131"", ""MAT-FI-0137"", ""MAT-FI-0143"", ""MAT-FI-0149"", ""MAT-FI-0155"", ""MAT-FI-0161"", ""MAT-FI-0167"", ""MAT-FI-0173"", ""MAT-FI-0179"", ""MAT-FI-0185"", ""MAT-FI-0191"", ""MAT-FI-0197"", ""MAT-FI-0203"", ""MAT-FI-0209"", ""MAT-FI-0215"", ""FG-CATHODE"", ""FG-NISO4"", ""FG-LIOH"", ""MAT-FI-0017"", ""MAT-FI-0023"", ""MAT-FI-0029"", ""MAT-FI-0035"", ""MAT-FI-0041"", ""MAT-FI-0047""]",True
